f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.831,0.841,0.800,0.774,0.860,0.917,0.854,0.795,1.118,0.812,0.660,0.939,0.851,0.560,0.202,0.368,NoTouching
0.902,0.806,0.612,0.725,0.565,0.612,0.843,0.695,0.845,0.707,0.613,0.652,0.384,0.956,1.329,1.091,NoTouching
1.041,0.845,0.964,0.828,0.853,0.773,0.745,0.703,0.454,1.090,0.836,0.636,0.830,0.877,0.822,0.835,NoTouching
0.945,1.077,0.886,0.875,0.836,0.885,0.936,0.808,0.868,0.918,0.920,0.753,0.926,0.964,0.763,0.751,NoTouching
0.937,0.252,0.730,0.256,1.103,0.894,0.667,0.703,0.558,0.840,0.741,0.916,0.672,0.621,0.616,0.530,NoTouching
0.685,0.514,1.058,1.075,0.102,0.249,1.404,0.666,0.745,1.048,0.621,0.975,0.578,0.932,0.735,0.648,NoTouching
0.527,0.548,0.675,1.083,0.941,0.151,-0.277,0.072,-0.506,-0.070,-0.365,-0.142,-0.417,-0.375,0.191,-0.647,NoTouching
0.832,0.778,0.541,0.840,0.569,0.774,0.700,0.830,0.787,0.636,0.878,0.629,0.673,0.720,0.575,0.591,NoTouching
0.590,0.393,0.679,0.602,0.609,0.484,0.553,0.662,0.676,0.443,0.453,0.678,0.545,0.759,0.697,0.609,NoTouching
0.667,0.510,1.074,1.329,0.520,-0.478,0.829,0.903,0.986,0.854,0.639,0.766,0.602,0.614,0.648,0.942,NoTouching
0.531,0.545,0.481,0.730,0.401,0.681,0.618,0.278,0.688,0.538,0.498,0.720,0.354,0.827,0.524,0.182,NoTouching
0.949,0.627,0.803,0.602,0.771,0.824,0.745,0.995,0.723,0.711,0.907,0.953,0.882,0.869,0.903,0.922,NoTouching
0.554,0.537,0.606,0.590,0.521,0.445,0.628,0.416,0.690,0.494,0.599,0.509,0.096,0.690,0.226,0.224,NoTouching
0.093,-0.142,1.194,1.050,0.893,1.119,0.508,1.079,0.790,0.533,1.058,0.868,0.589,0.903,0.657,0.469,NoTouching
