f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,class
-0.048,-0.067,-1.008,0.084,-0.005,-1.081,-0.021,0.104,-0.866,-0.501,0.159,-0.679,-0.466,0.253,-0.939,-0.380,0.349,-0.927,-0.185,0.414,-0.903,-0.347,0.805,-0.914,-0.785,0.967,-0.631,-0.719,0.548,-0.406,-0.618,-0.011,-0.263,-0.689,-0.216,-0.217,-0.851,-0.171,-0.193,-0.940,-0.177,-0.190,-0.952,-0.183,-0.225,-0.466,0.253,-0.939,NearMiss
-0.061,-0.014,-0.993,0.004,0.030,-1.091,-0.096,0.060,-0.876,-0.431,0.121,-0.782,-0.425,0.201,-0.925,-0.222,0.446,-0.950,-0.501,0.850,-0.816,-0.756,0.806,-0.444,-0.706,0.385,-0.264,-0.676,0.068,-0.243,-0.821,0.018,-0.315,-0.953,0.096,-0.329,-0.944,0.105,-0.224,-0.937,0.084,-0.199,-0.949,0.102,-0.224,-0.981,0.116,-0.201,NearMiss
-0.127,-0.044,-1.010,-0.183,0.001,-1.021,-0.340,0.233,-0.774,-0.280,0.470,-0.798,-0.181,0.637,-0.825,-0.204,0.702,-0.752,-0.365,0.895,-0.756,-0.570,0.725,-0.746,-0.646,0.377,-0.595,-0.673,0.097,-0.456,-0.744,-0.027,-0.368,-0.831,-0.135,-0.323,-0.839,-0.223,-0.319,-0.938,-0.099,-0.338,-0.952,-0.153,-0.315,-0.946,-0.179,-0.283,NearMiss
-0.140,0.024,-0.979,-0.136,0.069,-0.999,-0.226,0.153,-1.037,-0.394,0.295,-0.837,-0.358,0.353,-0.766,-0.234,0.505,-0.813,-0.229,0.669,-0.760,-0.258,0.871,-0.810,-0.445,0.734,-0.900,-0.552,0.320,-0.736,-0.607,0.068,-0.536,-0.678,-0.142,-0.431,-0.740,-0.206,-0.421,-0.782,-0.350,-0.426,-0.812,-0.406,-0.435,-0.806,-0.377,-0.433,NearMiss
0.012,-0.282,-0.984,0.034,-0.275,-0.936,0.015,-0.264,-0.915,0.011,-0.271,-0.948,0.002,-0.268,-0.974,0.005,-0.268,-1.013,-0.048,-0.197,-1.057,-0.240,0.062,-0.965,-0.499,0.336,-0.739,-0.757,0.475,-0.498,-0.870,0.231,-0.254,-0.916,0.077,-0.102,-0.936,0.132,-0.066,-0.954,0.189,-0.145,-0.927,0.105,-0.150,0.002,-0.268,-0.974,NearMiss
0.352,0.216,-0.936,0.386,0.326,-1.006,0.418,0.499,-1.197,-0.094,0.437,-1.253,-0.542,0.063,-0.790,-0.596,0.206,-0.421,-0.258,0.260,-0.471,0.054,0.414,-0.805,-0.113,0.209,-0.909,-0.113,0.170,-1.042,-0.078,0.173,-0.976,-0.124,-0.029,-1.087,-0.115,0.176,-1.113,-0.681,0.584,-0.433,-0.896,0.451,-0.203,-0.838,0.362,-0.315,NearMiss
0.347,0.100,-0.920,0.348,0.111,-0.926,0.408,0.104,-0.963,0.497,0.407,-1.156,-0.080,0.818,-1.274,-0.422,0.620,-0.746,-0.516,0.305,-0.205,-0.586,-0.068,-0.112,-0.763,-0.239,-0.037,-0.940,-0.183,-0.138,-0.994,-0.141,-0.157,-0.948,-0.168,-0.109,-0.954,-0.136,-0.093,-0.970,-0.125,-0.103,-0.979,-0.102,-0.100,-0.990,-0.100,-0.103,NearMiss
0.257,0.201,-0.939,0.260,0.203,-0.935,0.311,0.198,-1.007,0.420,0.428,-1.177,0.036,0.756,-1.059,-0.435,0.644,-0.524,-0.599,0.597,-0.095,-0.600,0.313,0.086,-0.708,0.098,0.195,-0.923,-0.014,0.114,-1.060,0.191,0.357,-0.986,0.076,0.195,-0.882,0.065,0.213,-0.991,0.115,0.237,-0.964,0.138,0.237,-0.931,0.135,0.234,NearMiss
0.313,0.193,-0.913,0.307,0.226,-0.920,0.350,0.187,-0.936,0.393,0.492,-1.027,0.099,0.706,-1.127,-0.220,0.734,-0.893,-0.475,0.680,-0.567,-0.607,0.333,-0.258,-0.703,0.023,-0.159,-0.719,-0.206,-0.202,-0.879,-0.171,-0.336,-0.984,-0.156,-0.294,-0.935,-0.091,-0.198,-0.942,-0.059,-0.220,-0.959,-0.042,-0.213,-0.965,-0.040,-0.225,NearMiss
0.276,0.195,-0.929,0.281,0.186,-0.934,0.283,0.188,-0.934,0.284,0.190,-0.933,0.287,0.179,-0.935,0.283,0.176,-0.930,0.314,0.191,-0.947,0.223,0.450,-0.919,0.092,0.636,-0.858,0.099,0.724,-0.929,-0.046,0.978,-1.075,-0.415,0.921,-0.737,-0.526,0.240,-0.279,-0.508,-0.186,-0.112,-0.674,-0.289,-0.079,-0.809,-0.209,-0.132,NearMiss
