f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.541,0.518,0.536,0.859,1.058,0.673,0.105,-0.229,-0.359,-0.258,-0.348,-0.286,-0.311,-0.400,-0.424,-0.365,NearMiss
0.520,0.512,0.502,0.513,0.590,0.636,0.500,0.304,0.083,-0.255,-0.419,-0.475,-0.300,-0.403,-0.545,-0.589,NearMiss
0.414,0.426,0.424,0.514,0.912,1.178,0.843,0.422,0.030,-0.224,-0.242,-0.251,-0.246,-0.226,-0.233,-0.240,NearMiss
0.412,0.396,0.399,0.434,0.645,0.715,0.623,0.329,0.124,-0.029,-0.087,-0.192,-0.279,-0.315,-0.338,-0.411,NearMiss
0.360,0.324,0.395,0.787,0.654,0.239,-0.025,-0.202,-0.108,-0.107,-0.196,-0.168,-0.181,-0.169,-0.139,-0.223,NearMiss
0.464,0.526,1.080,1.281,0.724,0.190,0.255,0.310,0.309,0.266,0.267,0.246,0.338,0.426,0.511,0.631,NearMiss
0.198,0.185,0.361,0.689,0.635,0.342,0.040,-0.092,-0.113,-0.142,-0.086,-0.173,-0.124,-0.151,-0.136,-0.143,NearMiss
0.273,0.298,0.596,1.012,1.045,0.687,0.339,0.257,0.298,0.349,0.257,0.214,0.199,0.165,0.272,0.300,NearMiss
0.150,0.166,0.193,0.398,0.842,0.789,0.429,0.313,0.360,0.445,0.483,0.510,0.482,0.470,0.509,0.513,NearMiss
0.342,0.328,0.409,0.572,0.929,0.839,0.666,0.436,0.370,0.358,0.399,0.260,0.174,0.189,0.140,0.004,NearMiss
0.346,0.327,0.310,0.536,0.718,0.558,0.082,-0.177,-0.157,-0.175,-0.226,-0.043,-0.183,-0.090,0.358,0.592,NearMiss
0.386,0.439,0.822,0.713,0.158,-0.159,-0.001,-0.226,-0.310,0.580,0.262,-0.290,-0.371,-0.547,-0.383,-0.530,NearMiss
0.275,0.310,0.610,0.880,0.900,0.508,0.138,-0.105,-0.127,-0.209,-0.262,-0.293,-0.374,-0.370,-0.328,-0.316,NearMiss
0.260,0.278,0.305,0.522,1.010,0.773,0.498,0.426,0.485,0.505,0.490,0.485,0.502,0.517,0.531,0.596,NearMiss
0.275,0.244,0.417,0.689,0.284,0.036,-0.220,-0.352,-0.297,-0.383,-0.281,-0.011,0.185,0.087,-0.229,-0.321,NearMiss
0.289,0.298,0.305,0.440,0.790,0.739,0.181,-0.150,-0.175,-0.090,-0.121,-0.137,-0.119,-0.147,-0.142,-0.162,NearMiss
0.083,0.086,0.107,0.586,0.836,0.600,0.145,-0.154,-0.103,-0.018,-0.039,-0.033,-0.035,-0.043,-0.052,-0.060,NearMiss
0.131,0.128,0.169,0.337,0.891,1.002,0.628,0.302,0.211,0.217,0.258,0.398,0.449,0.410,0.308,0.257,NearMiss
0.169,0.171,0.162,0.187,0.407,0.493,0.372,0.244,0.062,-0.048,-0.139,-0.170,-0.182,-0.218,-0.261,-0.297,NearMiss
0.111,0.129,0.194,0.262,0.261,0.257,0.189,0.047,-0.076,-0.108,-0.122,-0.140,-0.156,-0.169,-0.164,-0.145,NearMiss
0.054,0.061,0.050,0.375,0.755,0.397,-0.040,-0.179,-0.126,-0.092,-0.099,-0.145,-0.138,-0.134,-0.159,-0.154,NearMiss
0.182,0.194,0.210,0.433,0.584,0.490,0.242,0.108,-0.078,-0.173,-0.187,-0.218,-0.219,-0.257,-0.312,-0.364,NearMiss
-0.186,-0.182,-0.165,-0.222,-0.231,-0.103,0.055,0.160,0.210,0.206,0.286,0.326,0.232,0.124,-0.019,-0.089,NearMiss
0.180,0.216,0.351,0.540,0.530,0.352,0.209,0.058,-0.017,-0.085,-0.188,-0.271,-0.314,-0.371,-0.378,-0.404,NearMiss
0.038,0.043,0.046,0.351,0.687,0.469,0.060,-0.251,-0.190,-0.131,-0.147,-0.110,-0.066,-0.049,-0.037,-0.051,NearMiss
0.252,0.294,0.566,0.922,0.791,0.688,0.538,0.533,0.344,0.315,0.498,0.569,0.550,0.533,0.439,0.297,NearMiss
0.431,0.486,0.609,0.653,0.550,0.305,0.081,-0.064,-0.153,-0.217,-0.288,-0.351,-0.400,-0.418,-0.441,-0.449,NearMiss
0.154,0.019,0.104,0.358,0.811,0.956,0.959,1.138,1.003,0.690,0.492,0.182,0.009,-0.157,-0.263,-0.266,NearMiss
