f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.948,-0.973,-1.133,-1.386,-0.993,-0.274,-0.086,-0.285,-0.277,-0.228,-0.178,-0.175,-0.243,-0.289,-0.177,-0.242,NearMiss
-0.885,-0.890,-1.008,-1.088,-1.041,-0.714,-0.482,-0.436,-0.422,-0.387,-0.383,-0.304,-0.305,-0.299,-0.275,-0.239,NearMiss
-0.854,-0.860,-0.894,-1.058,-1.061,-0.938,-0.694,-0.436,-0.420,-0.484,-0.468,-0.407,-0.382,-0.339,-0.300,-0.317,NearMiss
-0.978,-0.965,-0.953,-0.980,-1.022,-0.991,-0.739,-0.376,-0.301,-0.388,-0.746,-0.595,-0.597,-0.536,-0.546,-0.579,NearMiss
-0.896,-0.801,-0.804,-0.774,-0.519,-0.573,-0.625,-0.863,-0.863,-0.625,-0.415,-0.462,-0.523,-0.530,-0.539,-0.550,NearMiss
-0.965,-0.955,-0.951,-0.939,-0.873,-0.749,-0.895,-0.954,-0.757,-0.747,-0.862,-0.757,-0.514,-0.200,-0.124,-0.873,NearMiss
-0.996,-1.113,-1.150,-0.711,-0.253,-0.002,-0.448,-0.366,-0.246,-0.189,-0.249,-0.544,-0.681,-0.297,-0.624,-0.636,NearMiss
-0.785,-0.786,-0.905,-1.078,-0.831,-0.413,-0.215,-0.274,-0.158,-0.158,-0.272,-0.311,-0.246,-0.226,-0.219,-0.239,NearMiss
-0.848,-0.837,-0.869,-1.036,-1.080,-0.778,-0.153,0.096,0.163,0.276,0.471,0.426,0.327,0.374,0.348,0.376,NearMiss
-0.977,-0.936,-0.945,-0.971,-0.671,-0.363,-0.313,-0.357,-0.405,-0.423,-0.403,-0.444,-0.481,-0.448,-0.438,-0.439,NearMiss
-0.928,-0.933,-0.931,-1.000,-1.153,-1.231,-0.843,-0.505,-0.354,-0.306,-0.299,-0.325,-0.309,-0.343,-0.303,-0.264,NearMiss
-0.621,-0.626,-0.673,-0.916,-0.924,-0.670,-0.424,-0.238,-0.205,-0.164,-0.210,-0.237,-0.275,-0.265,-0.234,-0.272,NearMiss
-0.995,-1.012,-1.095,-0.885,-0.282,0.149,0.109,0.049,0.024,0.049,-0.035,0.010,0.023,0.019,-0.009,-0.026,NearMiss
-0.927,-0.930,-1.124,-1.248,-0.867,-0.333,-0.040,0.078,0.066,0.044,0.093,0.060,0.073,0.078,0.080,0.076,NearMiss
-0.931,-0.995,-1.071,-0.582,-0.140,0.066,-0.257,-0.233,-0.118,-0.007,-0.362,-0.329,-0.206,-0.325,-0.318,-0.316,NearMiss
-0.887,-0.855,-0.934,-1.197,-0.989,-0.456,-0.108,-0.088,-0.228,-0.389,-0.333,-0.323,-0.384,-0.268,-0.177,-0.297,NearMiss
-0.789,-0.799,-0.819,-0.931,-1.110,-1.133,-0.963,-0.781,-0.729,-0.599,-0.318,-0.262,-0.886,-0.840,-0.450,-0.552,NearMiss
-0.751,-0.739,-0.801,-0.966,-0.823,-0.438,-0.161,-0.125,-0.167,-0.154,-0.227,-0.279,-0.221,-0.250,-0.228,-0.258,NearMiss
