f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.649,-0.656,-0.713,-0.688,-0.745,-0.664,-0.705,-0.721,-0.692,-0.656,-0.725,-0.728,-0.707,-0.677,-0.709,-0.733,NoTouching
-0.685,-0.699,-0.713,-0.700,-0.726,-0.706,-0.693,-0.684,-0.695,-0.697,-0.702,-0.698,-0.697,-0.705,-0.702,-0.696,NoTouching
-0.572,-0.752,-0.756,-0.675,-0.704,-0.930,-0.915,-0.929,-0.765,-0.687,-0.751,-0.881,-0.864,-0.796,-0.756,-0.700,NoTouching
-0.821,-0.814,-0.824,-0.689,-0.744,-0.705,-0.633,-0.656,-0.816,-0.757,-0.636,-0.611,-0.616,-0.689,-0.862,-0.699,NoTouching
1.266,0.900,0.828,0.703,0.392,0.552,0.816,0.651,0.944,0.349,0.109,-0.012,-0.526,-1.060,-1.215,-0.969,NoTouching
-0.771,-0.636,-0.559,-0.638,-0.620,-0.694,-0.720,-0.660,-0.496,-0.549,-0.659,-0.720,-0.744,-0.727,-0.699,-0.673,NoTouching
-0.412,-0.455,-0.515,-0.528,-0.530,-0.537,-0.684,-0.683,-0.282,-0.195,-0.406,-0.408,-0.358,-0.420,-0.457,-0.461,NoTouching
-0.560,-0.547,-0.587,-0.639,-0.583,-0.608,-0.616,-0.604,-0.675,-0.551,-0.318,-0.349,-0.620,-0.599,-0.580,-0.615,NoTouching
-0.492,-0.546,-0.591,-0.533,-0.533,-0.563,-0.520,-0.463,-0.178,0.064,0.159,0.437,0.398,0.158,0.014,0.209,NoTouching
-0.944,-0.920,-0.776,-0.850,-0.669,-0.644,-0.742,-0.653,-0.866,-0.754,-0.495,-0.296,-0.140,0.054,0.135,0.087,NoTouching
-0.293,-0.351,-0.444,-0.461,-0.524,-0.546,-0.598,-0.552,-0.409,-0.680,-0.478,-0.436,-0.553,-0.672,-0.713,-0.753,NoTouching
0.163,-0.043,-0.550,-0.370,-0.431,-0.454,-0.510,-0.460,-0.431,-0.462,-0.463,-0.371,-0.413,-0.485,-0.425,-0.377,NoTouching
