f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
1.592,1.903,1.628,0.737,1.168,1.837,1.969,1.659,2.709,2.059,1.960,2.380,2.161,1.430,1.228,1.814,NoTouching
1.421,1.126,1.047,1.022,2.065,1.627,1.079,2.021,1.466,1.692,1.618,1.383,0.807,1.685,2.663,2.327,NoTouching
1.007,1.583,2.774,1.781,0.642,2.421,1.936,1.516,1.209,1.340,0.805,2.093,2.470,1.288,1.527,2.257,NoTouching
1.916,1.424,1.073,2.284,1.589,1.422,1.264,1.030,0.889,1.649,2.067,1.212,1.586,2.098,1.403,1.329,NoTouching
-0.044,-0.070,-0.069,-0.016,-0.106,-0.089,-0.064,-0.172,-0.082,-0.095,-0.141,-0.118,-0.108,-0.104,-0.126,-0.095,NoTouching
-0.169,-0.161,-0.147,-0.162,-0.075,-0.015,-0.077,-0.132,-0.164,-0.184,-0.034,-0.052,-0.253,-0.134,0.007,-0.069,NoTouching
-0.138,-0.103,-0.070,-0.115,-0.121,-0.146,-0.125,-0.133,-0.152,-0.150,-0.121,-0.113,-0.174,-0.128,-0.139,-0.126,NoTouching
-0.133,-0.146,-0.149,-0.136,-0.135,-0.115,-0.091,-0.130,-0.125,-0.106,-0.144,-0.001,-0.021,-0.108,-0.031,0.005,NoTouching
-0.026,-0.092,-0.134,-0.114,-0.149,-0.140,-0.130,-0.140,-0.142,-0.135,-0.110,-0.118,-0.149,-0.127,-0.134,-0.146,NoTouching
-0.130,-0.148,-0.145,-0.147,-0.154,-0.045,-0.023,-0.093,-0.238,-0.145,-0.112,-0.134,-0.140,-0.123,-0.120,-0.168,NoTouching
-0.144,-0.073,-0.101,-0.110,-0.175,-0.138,-0.139,-0.137,-0.144,-0.151,-0.118,-0.143,-0.141,-0.157,-0.143,-0.141,NoTouching
-0.175,-0.147,-0.110,-0.137,-0.133,-0.143,-0.114,-0.148,-0.176,-0.046,-0.104,-0.116,-0.112,-0.141,-0.257,-0.155,NoTouching
-0.155,-0.154,-0.142,-0.212,-0.026,-0.074,-0.134,-0.148,-0.124,-0.149,-0.167,-0.145,-0.171,-0.117,-0.080,-0.046,NoTouching
-0.131,-0.142,-0.138,-0.139,-0.145,-0.157,-0.141,-0.157,-0.157,-0.152,-0.157,-0.148,-0.137,-0.138,-0.135,-0.107,NoTouching
-0.312,-0.248,-0.266,-0.375,-0.493,-0.456,-0.399,-0.432,-0.523,-0.620,-0.674,-0.689,-0.740,-0.746,-0.769,-0.759,NoTouching
-0.518,-0.583,-0.590,-0.643,-0.772,-0.611,-0.375,-0.451,-0.608,-0.597,-0.520,-0.409,-0.487,-0.533,-0.477,-0.497,NoTouching
-0.598,-0.458,-0.362,-0.573,-0.826,-0.680,-0.450,-0.343,-0.532,-0.487,-0.423,-0.414,-0.377,-0.269,-0.302,-0.302,NoTouching
-0.284,-0.270,-0.283,-0.246,-0.389,-0.537,-0.583,-0.578,-0.556,-0.431,-0.312,-0.326,-0.342,-0.320,-0.338,-0.348,NoTouching
-0.347,-0.377,-0.532,-0.376,-0.480,-0.446,-0.210,-0.268,-0.341,-0.304,-0.286,-0.303,-0.334,-0.266,-0.194,-0.220,NoTouching
-0.411,-0.352,-0.374,-0.418,-0.351,-0.349,-0.401,-0.400,-0.428,-0.377,-0.382,-0.382,-0.354,-0.350,-0.358,-0.357,NoTouching
-0.366,-0.337,-0.347,-0.358,-0.355,-0.365,-0.366,-0.348,-0.317,-0.283,-0.412,-0.395,-0.196,-0.287,-0.280,-0.355,NoTouching
-0.570,-0.515,-0.414,-0.578,-0.485,-0.430,-0.461,-0.407,-0.403,-0.419,-0.425,-0.411,-0.368,-0.332,-0.364,-0.398,NoTouching
-0.160,-0.158,-0.249,-0.295,-0.342,-0.242,-0.218,-0.198,-0.209,-0.226,-0.226,-0.277,-0.298,-0.335,-0.338,-0.310,NoTouching
-0.261,-0.280,-0.267,-0.287,-0.302,-0.275,-0.245,-0.263,-0.268,-0.262,-0.267,-0.281,-0.265,-0.259,-0.270,-0.318,NoTouching
0.093,0.297,0.806,0.085,0.525,0.306,0.046,0.811,0.026,0.444,0.389,0.334,0.619,0.306,0.329,0.746,NoTouching
0.802,-0.086,0.420,0.359,-0.013,0.704,-0.104,0.185,0.656,0.474,0.135,0.839,0.459,-0.007,0.700,0.754,NoTouching
0.479,0.370,0.161,0.003,0.805,0.067,-0.058,0.903,-0.139,0.331,0.743,-0.020,0.477,0.436,0.345,0.499,NoTouching
-0.104,0.756,0.120,0.003,0.721,-0.041,0.159,0.758,-0.138,0.535,0.577,-0.132,0.839,0.256,-0.116,0.239,NoTouching
0.269,-0.207,0.463,0.642,-0.400,0.622,0.427,-0.385,0.695,0.325,-0.216,0.775,-0.035,0.259,0.548,0.423,NoTouching
0.000,0.694,0.057,0.085,0.780,0.093,-0.194,0.727,0.179,-0.257,0.868,0.039,-0.252,0.936,-0.123,0.780,NoTouching
-0.213,0.762,0.157,-0.070,0.495,0.298,-0.041,0.541,0.179,0.014,0.662,0.219,0.369,0.865,0.208,0.193,NoTouching
0.508,0.726,0.279,0.918,0.527,0.480,-0.047,-0.000,0.068,0.601,0.339,-0.376,0.693,-0.238,0.066,0.819,NoTouching
-0.020,0.003,0.702,-0.235,0.350,0.449,0.445,0.334,0.842,0.179,0.711,0.569,0.066,0.573,0.348,-0.099,NoTouching
0.166,0.074,-0.097,-0.080,0.163,0.311,0.907,0.879,1.117,0.634,0.773,1.041,1.557,1.266,0.641,0.537,NoTouching
-0.056,-0.069,-0.059,-0.121,-0.277,-0.135,-0.121,-0.221,-0.130,0.040,-0.721,-0.979,-0.639,-0.590,-0.806,-0.909,NoTouching
-0.433,-0.445,-0.409,-0.513,-0.876,-0.952,-0.788,-0.803,-0.872,-0.929,-0.908,-0.923,-0.918,-0.922,-0.920,-0.929,NoTouching
0.024,0.126,0.144,-0.387,-0.823,-0.400,0.100,0.308,0.176,0.055,0.503,0.063,-1.002,-0.810,-0.715,-0.849,NoTouching
-0.030,-0.026,0.070,-0.114,-0.635,-0.636,-0.712,-0.835,-0.862,-0.916,-0.919,-0.878,-0.818,-0.928,-0.609,-0.627,NoTouching
-0.186,-0.192,-0.181,-0.189,-0.198,-0.530,-0.758,-0.628,-0.560,-0.611,-0.781,-0.901,-1.006,-0.928,-0.943,-0.927,NoTouching
-0.246,-0.248,-0.228,-0.423,-0.525,-0.370,-0.175,-0.234,-0.244,-0.440,-0.576,-0.617,-0.680,-0.686,-0.699,-0.706,NoTouching
-0.132,-0.130,-0.060,-0.213,-0.723,-0.703,-0.657,-0.746,-0.827,-0.867,-0.810,-0.915,-0.847,-0.774,-0.762,-0.755,NoTouching
-0.178,0.163,-0.350,-0.631,-0.560,-0.316,-0.405,-0.274,-0.192,-0.638,-0.907,-0.790,-0.664,-0.804,-0.904,-0.962,NoTouching
-0.361,-0.404,-0.596,-0.794,-0.892,-0.786,-0.835,-0.878,-0.883,-0.925,-0.794,-0.681,-0.754,-0.756,-0.688,-0.633,NoTouching
-0.035,-0.048,-0.016,-0.057,-0.369,-0.529,-0.556,-0.693,-0.697,-0.763,-0.839,-0.860,-1.113,-0.958,-0.967,-0.977,NoTouching
-0.197,0.010,-0.130,-0.516,-0.411,-0.354,-0.243,-0.298,-0.587,-0.767,-0.762,-0.750,-0.802,-0.854,-0.940,-1.018,NoTouching
-0.086,-0.046,0.042,-0.419,-0.803,-0.665,-0.615,-0.702,-0.845,-1.074,-0.902,-0.950,-0.935,-0.921,-0.912,-0.923,NoTouching
-0.249,-0.217,-0.253,-0.605,-0.429,-0.268,-0.285,-0.387,-0.540,-0.631,-0.667,-0.674,-0.696,-0.744,-0.794,-0.790,NoTouching
-0.147,-0.152,-0.153,-0.162,-0.117,-0.539,-0.570,-0.570,-0.637,-0.724,-0.786,-0.791,-0.780,-0.806,-0.826,-0.831,NoTouching
-0.266,-0.277,-0.224,-0.404,-0.812,-0.830,-0.635,-0.731,-0.946,-0.928,-0.970,-0.913,-0.739,-0.767,-0.731,-0.722,NoTouching
-0.270,-0.275,-0.259,-0.409,-0.642,-0.840,-0.795,-0.730,-0.837,-0.911,-0.947,-0.879,-0.809,-0.807,-0.847,-0.777,NoTouching
-0.459,-0.449,-0.469,-0.480,-0.627,-0.730,-0.787,-0.800,-0.832,-0.889,-0.967,-0.999,-0.972,-0.953,-0.938,-0.915,NoTouching
-0.131,-0.124,0.038,-0.475,-0.756,-0.705,-0.629,-0.749,-0.860,-0.944,-0.888,-0.885,-0.892,-0.897,-0.881,-0.856,NoTouching
-0.202,-0.199,-0.186,-0.178,-0.183,-0.315,-0.698,-0.715,-0.716,-0.733,-0.817,-0.896,-0.924,-0.949,-0.944,-0.913,NoTouching
-0.017,-0.025,0.054,-0.249,-0.725,-0.832,-0.736,-0.773,-0.923,-0.972,-0.961,-0.966,-0.985,-0.961,-0.968,-0.978,NoTouching
-0.307,-0.296,-0.270,-0.182,-0.447,-0.718,-0.803,-0.791,-0.834,-0.936,-0.923,-0.863,-0.985,-1.005,-0.842,-0.853,NoTouching
-0.286,-0.293,-0.204,-0.228,-0.434,-0.475,-0.310,-0.354,-0.732,-0.846,-0.659,-0.488,-0.579,-0.786,-0.915,-1.007,NoTouching
-0.291,-0.292,-0.278,-0.268,-0.330,-0.679,-0.750,-0.594,-0.474,-0.702,-0.849,-0.909,-0.964,-0.785,-0.810,-0.867,NoTouching
-0.280,-0.280,-0.265,-0.225,-0.297,-0.347,-0.274,-0.464,-0.792,-0.800,-0.607,-0.615,-0.776,-0.925,-0.923,-0.922,NoTouching
-0.278,-0.272,-0.271,-0.276,-0.286,-0.505,-0.782,-0.673,-0.621,-0.656,-0.709,-0.849,-0.990,-1.028,-0.997,-0.948,NoTouching
-0.348,-0.507,-0.429,-0.233,-0.293,-0.283,-0.242,-0.407,-0.546,-0.656,-0.693,-0.678,-0.685,-0.670,-0.669,-0.649,NoTouching
-0.201,-0.390,-0.407,-0.209,-0.144,-0.268,-0.391,-0.569,-0.636,-0.763,-0.884,-0.949,-0.953,-0.931,-0.939,-1.026,NoTouching
-0.120,-0.157,-0.159,-0.378,-0.798,-1.032,-0.776,-0.645,-0.748,-0.802,-0.802,-0.815,-0.655,-0.518,-0.541,-0.541,NoTouching
-0.183,-0.228,-0.431,-0.612,-0.534,-0.529,-0.599,-0.703,-1.151,-0.868,-0.895,-0.896,-0.855,-0.790,-0.798,-0.845,NoTouching
-0.124,-0.132,-0.208,-0.520,-0.906,-0.778,-0.703,-0.776,-0.719,-0.625,-0.739,-0.604,-0.384,-0.309,-0.234,-0.233,NoTouching
-0.121,-0.076,-0.142,-0.484,-0.722,-0.693,-0.752,-0.811,-0.893,-0.879,-0.901,-0.845,-0.872,-0.926,-0.825,-0.842,NoTouching
-0.106,-0.098,-0.105,-0.221,-0.744,-0.796,-0.727,-0.842,-0.952,-0.992,-0.880,-0.890,-1.031,-0.839,-0.797,-0.772,NoTouching
-0.105,0.075,-0.200,-0.396,-0.512,-0.376,-0.414,-0.781,-0.922,-0.765,-0.643,-0.814,-0.992,-0.963,-0.986,-0.988,NoTouching
-0.102,-0.087,-0.070,-0.270,-0.589,-0.650,-0.710,-0.818,-0.818,-0.835,-0.887,-0.917,-0.955,-0.929,-0.869,-0.908,NoTouching
-0.095,-0.003,0.046,-0.556,-0.370,-0.163,-0.195,-0.180,-0.078,0.040,-0.539,-0.906,-0.601,-0.610,-0.732,-0.833,NoTouching
-0.113,0.006,0.010,-0.441,-0.461,-0.175,-0.422,-0.871,-0.814,-0.700,-0.702,-0.879,-0.918,-0.946,-0.930,-0.926,NoTouching
-0.048,0.084,-0.021,-0.501,-0.466,-0.380,-0.185,-0.347,-0.785,-0.719,-0.618,-0.689,-0.851,-0.940,-0.952,-0.466,NoTouching
-0.061,0.004,-0.096,-0.431,-0.425,-0.222,-0.501,-0.756,-0.706,-0.676,-0.821,-0.953,-0.944,-0.937,-0.949,-0.981,NoTouching
-0.127,-0.183,-0.340,-0.280,-0.181,-0.204,-0.365,-0.570,-0.646,-0.673,-0.744,-0.831,-0.839,-0.938,-0.952,-0.946,NoTouching
-0.140,-0.136,-0.226,-0.394,-0.358,-0.234,-0.229,-0.258,-0.445,-0.552,-0.607,-0.678,-0.740,-0.782,-0.812,-0.806,NoTouching
-0.211,-0.168,-0.217,-0.360,-0.358,-0.302,-0.304,-0.218,-0.258,-0.290,-0.255,-0.245,-0.244,-0.303,-0.382,-0.459,NoTouching
-0.323,-0.324,-0.361,-0.371,-0.338,-0.319,-0.362,-0.261,-0.272,-0.434,-0.461,-0.540,-0.389,-0.253,-0.364,-0.439,NoTouching
-0.335,-0.359,-0.242,-0.275,-0.345,-0.360,-0.375,-0.399,-0.310,-0.204,-0.194,-0.234,-0.309,-0.326,-0.295,-0.293,NoTouching
-0.328,-0.305,-0.349,-0.329,-0.154,-0.209,-0.330,-0.267,-0.163,-0.107,-0.163,-0.220,-0.240,-0.185,-0.124,0.007,NoTouching
-0.339,-0.361,-0.258,-0.227,-0.194,-0.212,-0.326,-0.383,-0.368,-0.264,-0.211,-0.128,-0.249,-0.317,-0.350,-0.341,NoTouching
