f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
-0.032,-0.028,-0.031,-0.018,-0.018,-0.013,-0.195,-0.584,-0.709,-0.718,-0.731,-0.824,-0.961,-0.928,-0.832,-0.825,-0.803,-0.681,-0.475,0.893,0.985,0.997,0.989,1.002,1.107,1.223,1.179,72.099,0.474,0.311,0.656,0.469,0.285,0.285,2.000,-0.031,1.455,Touching
-0.022,-0.029,-0.024,-0.025,-0.026,-0.025,-0.019,0.055,0.018,-0.120,-0.512,-0.785,-0.873,-0.838,-0.735,-0.691,-0.710,-0.607,-0.552,0.610,0.982,1.001,0.986,0.993,0.988,0.991,1.014,33.097,0.218,0.508,2.335,0.579,0.474,0.407,1.000,-0.627,1.574,Touching
-0.015,-0.012,-0.015,-0.013,-0.009,-0.016,-0.031,-0.000,-0.014,-0.066,-0.330,-0.600,-0.697,-0.745,-0.777,-0.798,-0.864,-0.915,-0.961,0.712,0.986,0.994,0.989,0.996,0.994,1.001,0.972,85.912,0.565,0.205,0.362,0.683,0.183,0.159,0.000,-0.786,1.888,Touching
-0.013,-0.022,-0.015,-0.019,0.021,0.002,-0.061,-0.380,-0.642,-0.656,-0.608,-0.627,-0.674,-0.721,-0.819,-0.890,-0.989,-0.948,-0.894,0.715,0.979,0.999,0.999,0.988,1.015,1.200,1.154,51.245,0.339,0.318,0.936,0.323,0.298,0.298,4.000,-0.094,1.633,Touching
-0.014,-0.018,-0.021,-0.014,-0.009,-0.003,0.003,-0.027,-0.318,-0.625,-0.767,-0.676,-0.637,-0.737,-0.913,-1.024,-1.008,-0.921,-0.796,0.568,0.976,0.997,0.999,0.991,0.992,1.017,1.018,81.550,0.537,0.157,0.293,0.556,0.123,0.122,0.000,0.463,2.789,Touching
0.035,0.029,0.027,0.036,0.036,0.046,0.046,-0.053,-0.340,-0.478,-0.505,-0.560,-0.662,-0.676,-0.830,-0.716,-0.771,-0.857,-0.830,0.521,0.982,1.001,1.013,0.998,0.991,1.048,1.140,63.828,0.420,0.192,0.458,0.473,0.169,0.167,0.000,-0.169,1.902,Touching
0.020,0.026,0.036,0.041,-0.030,-0.275,-0.434,-0.455,-0.460,-0.525,-0.700,-0.694,-0.717,-0.736,-0.684,-0.723,-0.698,-0.720,-0.693,0.679,0.993,0.990,1.029,1.075,1.327,1.244,0.977,52.524,0.346,0.174,0.505,0.306,0.149,0.145,0.000,0.569,2.332,Touching
0.010,0.012,0.016,0.010,0.008,0.028,0.043,0.029,-0.111,-0.385,-0.566,-0.641,-0.548,-0.550,-0.673,-0.790,-0.875,-0.803,-0.717,0.554,0.986,0.994,0.992,0.994,0.983,1.007,1.022,90.306,0.594,0.091,0.153,0.575,0.066,0.062,0.000,1.096,4.284,Touching
0.008,0.000,0.010,0.016,-0.005,-0.139,-0.507,-0.661,-0.702,-0.650,-0.595,-0.853,-1.157,-0.998,-0.861,-0.777,-0.894,-1.095,-1.073,0.805,0.989,0.992,0.996,1.034,1.102,1.212,1.073,68.264,0.449,0.195,0.435,0.426,0.146,0.143,0.000,0.307,2.773,Touching
0.022,0.018,0.027,0.022,0.021,-0.002,-0.055,-0.274,-0.380,-0.426,-0.473,-0.576,-0.666,-0.772,-0.762,-0.792,-0.827,-0.831,-0.823,0.465,0.987,1.004,0.994,1.002,1.031,1.199,1.313,7.809,0.051,0.386,7.507,-0.101,0.363,0.359,1.000,0.057,1.362,Touching
0.034,0.029,0.034,0.028,0.060,0.025,-0.039,-0.216,-0.472,-0.665,-0.779,-0.794,-0.860,-0.911,-0.849,-0.841,-0.808,-0.682,-0.508,0.491,0.986,0.992,1.002,1.015,1.051,1.105,1.192,49.581,0.326,0.230,0.705,0.390,0.204,0.202,6.000,-0.298,1.851,Touching
0.040,0.035,0.038,0.064,0.004,-0.199,-0.409,-0.597,-0.675,-0.724,-0.693,-0.533,-0.962,-0.900,-0.867,-0.807,-0.748,-0.697,-0.622,-0.635,0.988,0.993,1.017,1.068,1.272,1.242,1.112,62.608,0.409,0.157,0.384,0.384,0.116,0.115,2.000,0.108,4.592,Touching
0.017,0.022,0.020,0.018,0.020,0.020,0.020,0.020,0.019,0.017,0.024,0.028,0.063,-0.032,-0.229,-0.404,-0.561,-0.575,-0.624,0.404,0.989,0.993,0.993,0.993,0.987,0.992,0.990,65.570,0.431,0.121,0.281,0.395,0.087,0.076,0.000,0.595,3.991,Touching
0.042,0.028,0.024,-0.001,-0.005,-0.128,-0.422,-0.640,-0.694,-0.684,-0.666,-0.759,-0.860,-1.013,-0.832,-0.723,-0.687,-0.704,-0.606,0.743,0.983,0.998,1.006,1.013,1.122,1.194,0.991,86.594,0.570,0.149,0.261,0.547,0.122,0.120,0.000,0.159,2.422,Touching
0.015,0.022,0.056,-0.117,-0.530,-0.683,-0.597,-0.547,-0.607,-0.841,-0.929,-0.930,-0.931,-0.954,-0.845,-0.883,-0.776,-0.877,-0.862,0.707,0.988,1.021,1.163,1.255,1.189,1.013,0.760,77.926,0.513,0.196,0.383,0.467,0.148,0.140,0.000,1.219,3.693,Touching
0.014,0.013,0.026,0.037,0.047,-0.043,-0.429,-0.683,-0.712,-0.720,-0.773,-0.868,-0.952,-0.913,-0.894,-0.874,-0.861,-0.796,-0.671,0.638,0.985,0.994,1.012,1.043,1.117,1.093,1.092,60.489,0.398,0.158,0.397,0.343,0.122,0.110,0.000,1.235,3.592,Touching
-0.022,-0.015,-0.018,-0.003,0.017,-0.051,-0.244,-0.538,-0.726,-0.798,-0.796,-0.665,-0.727,-0.873,-0.910,-0.925,-0.954,-0.980,-0.986,0.115,0.993,0.991,0.984,1.016,1.071,1.116,1.090,15.246,0.100,0.142,1.411,0.120,0.096,0.094,4.000,-0.632,4.085,Touching
-0.027,-0.042,-0.021,-0.025,-0.115,-0.402,-0.653,-0.664,-0.647,-0.634,-0.737,-0.987,-0.973,-0.864,-0.847,-0.732,-0.675,-0.618,-0.508,1.119,0.982,1.001,1.001,1.088,1.218,1.283,1.192,77.879,0.512,0.357,0.697,0.516,0.327,0.327,2.000,0.188,1.607,Touching
-0.016,-0.017,-0.018,-0.004,0.003,-0.026,-0.224,-0.531,-0.631,-0.634,-0.734,-0.809,-0.891,-0.977,-0.888,-0.888,-0.902,-1.002,-1.031,0.905,0.988,0.994,0.993,1.007,1.103,1.326,1.265,37.410,0.246,0.449,1.826,0.085,0.423,0.413,5.000,0.183,1.326,Touching
0.002,0.001,-0.005,0.017,-0.038,-0.042,-0.448,-0.682,-0.754,-0.751,-0.827,-0.899,-0.939,-1.091,-1.013,-0.898,-0.845,-0.929,-0.948,0.949,0.983,0.995,0.994,1.037,1.151,1.232,0.991,67.258,0.442,0.222,0.501,0.354,0.193,0.186,0.000,0.739,2.751,Touching
