f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.208,-0.195,-0.176,0.019,0.271,0.022,0.107,0.462,0.505,0.367,0.330,0.345,0.268,0.327,0.452,0.393,NoTouching
0.086,0.092,0.095,0.105,0.251,0.586,0.232,0.051,-0.091,0.240,0.221,0.027,0.089,0.099,0.144,0.017,NoTouching
0.102,0.114,0.125,0.256,0.434,0.504,0.858,0.911,1.023,0.980,0.644,0.284,0.076,-0.054,-0.084,-0.148,NoTouching
-0.108,-0.124,-0.124,0.319,0.463,-0.006,-0.234,-0.261,-0.260,-0.294,-0.261,-0.367,-0.249,-0.308,-0.339,-0.368,NoTouching
0.068,0.197,0.259,0.309,0.585,0.613,0.437,0.332,0.366,0.781,0.701,0.266,0.050,0.077,0.109,0.137,NoTouching
-0.129,-0.047,0.197,0.513,0.453,0.342,0.373,0.406,0.370,0.408,0.401,0.456,0.443,0.420,0.633,0.742,NoTouching
-0.283,-0.267,-0.292,-0.198,0.034,0.306,0.175,0.021,0.042,-0.128,-0.143,-0.191,-0.180,-0.072,-0.089,-0.009,NoTouching
0.050,0.046,-0.004,0.208,0.469,0.506,0.335,0.573,0.795,0.742,0.377,0.113,0.068,0.098,0.127,0.119,NoTouching
-0.211,-0.120,-0.100,-0.075,0.216,0.168,0.137,0.080,0.130,0.074,0.150,0.226,0.209,0.290,0.290,0.330,NoTouching
-0.014,-0.013,0.040,0.404,0.611,0.783,0.823,0.961,0.825,0.474,0.169,0.005,-0.071,-0.198,-0.202,-0.231,NoTouching
0.119,0.108,0.115,0.146,0.189,0.211,0.151,0.146,0.140,0.142,0.073,0.028,0.020,0.043,0.033,0.028,NoTouching
0.073,0.068,0.137,0.479,0.748,0.637,0.469,0.369,0.341,0.324,0.309,0.315,0.440,0.374,0.420,0.506,NoTouching
0.088,0.092,0.140,0.309,0.413,0.524,0.334,-0.024,-0.223,-0.238,-0.296,-0.326,-0.337,-0.399,-0.410,-0.381,NoTouching
0.641,0.632,0.658,0.697,0.671,0.595,0.398,0.256,0.136,0.064,0.018,0.032,-0.024,-0.028,-0.081,-0.057,NoTouching
-0.016,0.016,0.136,0.381,0.397,-0.039,-0.222,-0.210,-0.180,-0.233,-0.212,-0.204,-0.267,-0.241,-0.284,-0.320,NoTouching
0.249,0.252,0.248,0.280,0.328,0.625,0.715,0.319,-0.020,-0.210,-0.235,-0.223,-0.182,-0.212,-0.189,-0.186,NoTouching
-0.227,-0.195,-0.094,0.136,0.467,0.282,-0.073,-0.205,-0.078,-0.019,-0.065,-0.062,-0.058,-0.042,-0.039,-0.040,NoTouching
0.798,0.786,0.777,0.892,1.010,0.882,0.606,0.290,0.251,0.332,0.249,0.245,0.277,0.232,0.238,0.268,NoTouching
0.321,0.308,0.297,0.164,0.221,0.309,0.346,0.658,1.080,0.977,0.732,0.688,0.475,0.301,0.431,0.463,NoTouching
0.286,0.294,0.300,0.299,0.444,0.777,0.878,0.805,0.786,0.569,0.439,0.368,0.429,0.286,0.408,0.454,NoTouching
0.244,0.247,0.236,0.244,0.213,0.185,0.269,0.678,0.970,0.557,0.036,-0.228,-0.241,-0.232,-0.273,-0.265,NoTouching
0.268,0.268,0.261,0.294,0.341,0.457,0.608,0.435,0.357,0.367,0.231,0.125,0.096,0.146,0.259,0.256,NoTouching
