f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
-73.429,-12.053,-106.895,0.316,0.219,0.280,0.270,0.219,0.262,12.000,11.000,0.000,0.587,0.778,-0.400,1.519,3.133,1.473,Touching
-76.336,-15.649,-102.719,0.290,0.278,0.268,0.267,0.270,0.240,3.000,1.000,0.000,0.623,1.040,-0.515,1.811,3.423,1.659,Touching
-66.898,69.749,-74.186,0.275,0.260,0.385,0.263,0.240,0.364,7.000,3.000,1.000,0.385,-0.719,-0.278,1.594,2.032,1.353,Touching
-74.548,95.249,-60.170,0.288,0.184,0.199,0.263,0.184,0.191,3.000,0.000,0.000,0.483,0.304,-0.412,1.664,2.930,1.627,Touching
-78.210,61.623,-68.714,0.354,0.145,0.406,0.339,0.142,0.394,5.000,0.000,7.000,0.242,1.075,-0.182,1.410,3.535,1.273,Touching
-79.659,64.665,-75.765,0.303,0.150,0.327,0.275,0.144,0.298,4.000,0.000,0.000,0.521,0.558,-0.468,1.658,2.198,1.472,Touching
-86.908,58.281,-62.699,0.351,0.113,0.388,0.330,0.109,0.365,5.000,0.000,7.000,0.469,1.347,-0.404,1.602,4.513,1.423,Touching
-81.975,73.021,-60.098,0.282,0.150,0.374,0.246,0.149,0.352,7.000,0.000,5.000,0.810,-0.329,-0.533,2.007,2.083,1.603,Touching
-95.632,48.736,-64.945,0.328,0.110,0.367,0.301,0.096,0.329,5.000,0.000,6.000,0.718,1.808,-0.573,1.872,5.395,1.588,Touching
-80.004,62.954,-68.049,0.320,0.168,0.390,0.307,0.159,0.362,4.000,0.000,2.000,0.439,0.756,-0.366,1.570,2.416,1.349,Touching
-79.488,58.507,-69.732,0.324,0.333,0.247,0.306,0.330,0.246,4.000,6.000,6.000,0.492,-0.257,0.036,1.721,2.123,1.781,Touching
-75.726,45.185,-92.833,0.374,0.115,0.287,0.353,0.111,0.286,6.000,3.000,0.000,0.260,0.247,-0.106,1.222,3.548,1.288,Touching
-84.052,67.453,-54.633,0.264,0.242,0.375,0.248,0.235,0.340,2.000,3.000,6.000,0.683,-0.380,-0.625,1.971,2.288,1.670,Touching
-89.099,53.135,-76.076,0.305,0.180,0.297,0.285,0.173,0.251,2.000,0.000,0.000,0.673,1.197,-0.699,1.877,4.094,1.756,Touching
-77.258,80.133,-59.896,0.254,0.205,0.349,0.246,0.203,0.325,2.000,0.000,3.000,0.639,-0.212,-0.597,1.992,2.074,1.756,Touching
-84.230,29.609,-80.486,0.342,0.396,0.242,0.315,0.380,0.230,8.000,6.000,0.000,0.558,0.234,-0.368,1.617,1.507,1.472,Touching
-79.950,20.969,-83.500,0.311,0.468,0.181,0.270,0.447,0.172,4.000,1.000,0.000,0.685,0.332,-0.653,1.672,1.313,2.327,Touching
-73.150,30.661,-93.807,0.357,0.296,0.272,0.348,0.293,0.268,6.000,6.000,0.000,0.151,-0.130,-0.302,1.445,1.537,1.765,Touching
-80.409,55.861,-74.986,0.375,0.150,0.328,0.345,0.143,0.307,6.000,0.000,0.000,0.408,0.796,-0.406,1.429,2.612,1.436,Touching
-74.733,61.839,-69.660,0.354,0.160,0.419,0.330,0.156,0.403,5.000,0.000,4.000,0.367,0.721,-0.222,1.362,2.572,1.220,Touching
-79.029,-0.933,-96.430,0.344,0.209,0.337,0.319,0.206,0.318,5.000,1.000,0.000,0.442,-0.056,-0.238,1.454,1.546,1.300,Touching
