f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.934,-0.932,-0.927,-0.927,-0.924,-1.116,-0.873,-0.376,-0.169,-0.191,-0.284,-0.275,-0.273,-0.273,-0.256,-0.254,NoTouching
-0.934,-0.971,-1.116,-1.074,-0.814,-0.410,-0.250,-0.267,-0.259,-0.239,-0.232,-0.166,-0.150,-0.183,-0.187,-0.172,NoTouching
-0.505,-0.500,-0.518,-0.540,-0.291,0.039,0.161,-0.019,-0.133,-0.093,-0.104,-0.034,-0.095,-0.180,-0.075,-0.126,NoTouching
-0.894,-0.912,-1.063,-0.891,-0.646,-0.789,-0.824,-0.790,-0.314,0.159,0.275,0.070,0.162,0.213,0.026,-0.102,NoTouching
-0.893,-0.889,-0.890,-0.893,-0.993,-0.747,-0.177,0.035,-0.124,-0.110,-0.014,-0.016,-0.002,-0.012,-0.003,-0.232,NoTouching
-0.909,-0.909,-0.922,-0.957,-0.879,-0.875,-0.906,-0.931,-0.753,-0.454,-0.221,-0.225,-0.308,-0.277,-0.255,-0.254,NoTouching
-0.905,-0.905,-0.903,-0.897,-0.923,-1.027,-0.868,-0.602,-0.413,-0.246,-0.108,-0.062,0.029,0.078,0.033,0.054,NoTouching
-0.983,-0.812,-0.696,-0.731,-0.754,-0.710,-0.642,-0.745,-0.718,-0.671,-0.598,-0.579,-0.568,-0.554,-0.542,-0.526,NoTouching
-1.015,-0.967,-0.771,-0.755,-0.784,-0.690,-0.688,-0.586,-0.407,-0.368,-0.386,-0.352,-0.305,-0.227,-0.160,-0.168,NoTouching
-1.011,-1.014,-1.040,-0.880,-0.492,-0.372,-0.538,-0.430,-0.390,-0.312,-0.363,-0.458,-0.452,-0.371,-0.504,-0.775,NoTouching
-0.974,-1.083,-1.160,-1.051,-0.776,-0.443,-0.268,-0.262,-0.433,-0.459,-0.433,-0.338,-0.300,-0.659,-0.604,-0.397,NoTouching
-0.980,-1.038,-1.029,-0.853,-0.417,-0.473,-0.590,-0.450,-0.495,-0.549,-0.324,-0.463,-0.784,-0.946,-0.944,-0.927,NoTouching
-0.939,-1.007,-1.226,-1.051,-0.437,-0.305,-0.312,-0.389,-0.516,-0.467,-0.464,-0.402,-0.394,-0.477,-0.429,-0.448,NoTouching
-0.963,-0.992,-1.048,-0.875,-0.270,-0.304,-0.323,-0.176,-0.100,-0.155,-0.044,-0.059,-0.180,-0.142,-0.301,-0.441,NoTouching
-0.995,-1.107,-0.889,-0.718,-0.769,-0.903,-0.737,-0.322,-0.260,-0.409,-0.263,-0.143,-0.171,-0.144,-0.116,-0.107,NoTouching
-0.967,-0.976,-1.061,-1.240,-1.192,-0.770,-0.341,-0.276,-0.160,-0.107,-0.150,-0.166,-0.193,-0.252,-0.256,-0.272,NoTouching
-0.982,-1.142,-1.266,-0.691,-0.512,-0.878,-1.006,-1.030,-0.978,-1.140,-0.554,-0.134,-0.573,-0.583,-0.523,-0.196,NoTouching
-0.988,-1.123,-0.851,-0.815,-0.873,-1.060,-0.849,-0.401,-0.294,-0.322,-0.443,-0.392,-0.206,-0.230,-0.225,-0.236,NoTouching
-1.008,-1.081,-0.866,-0.679,-0.939,-0.927,-0.903,-0.914,-0.631,-0.406,-0.263,-0.217,-0.193,-0.190,-0.225,-0.939,NoTouching
-0.993,-1.091,-0.876,-0.782,-0.925,-0.950,-0.816,-0.444,-0.264,-0.243,-0.315,-0.329,-0.224,-0.199,-0.224,-0.201,NoTouching
-1.010,-1.021,-0.774,-0.798,-0.825,-0.752,-0.756,-0.746,-0.595,-0.456,-0.368,-0.323,-0.319,-0.338,-0.315,-0.283,NoTouching
-0.979,-0.999,-1.037,-0.837,-0.766,-0.813,-0.760,-0.810,-0.900,-0.736,-0.536,-0.431,-0.421,-0.426,-0.435,-0.433,NoTouching
-0.874,-0.757,-0.565,-0.582,-0.621,-0.736,-0.725,-0.846,-0.920,-0.904,-0.887,-0.836,-0.652,-0.045,0.308,0.489,NoTouching
-0.224,-0.216,-0.290,-0.365,-0.410,-0.539,-0.542,-0.472,-0.345,0.018,0.227,0.393,0.141,-0.255,-0.445,-0.469,NoTouching
-0.780,-0.761,-0.685,-0.428,-0.146,0.103,0.076,-0.185,-0.183,-0.048,0.135,0.442,0.739,0.859,0.720,0.695,NoTouching
0.353,0.356,0.688,0.566,0.389,0.588,0.776,0.670,0.452,0.312,0.361,0.271,0.067,-0.086,-0.084,-0.036,NoTouching
0.701,0.436,0.231,0.229,0.124,0.218,0.507,0.732,0.848,0.704,0.327,0.048,0.365,0.709,0.946,0.879,NoTouching
